Stock Symbol,Company Name,News Title,Sentiment,URL
,,Carradice Odyssey Saddlebag 26L,Positive,https://road.cc/content/review/carradice-odyssey-saddlebag-26l-314669
,,KBC Group NV Purchases 176 Shares of Toll Brothers Inc. (NYSE:TOL),Positive,https://www.etfdailynews.com/2025/07/05/kbc-group-nv-purchases-176-shares-of-toll-brothers-inc-nysetol/
,,"KBC Group NV Grows Stock Position in Kinsale Capital Group, Inc. (NYSE:KNSL)",Positive,https://www.etfdailynews.com/2025/07/05/kbc-group-nv-grows-stock-position-in-kinsale-capital-group-inc-nyseknsl/
,,Ukraine updates: Kyiv strikes Russian military air base,Neutral,https://www.dw.com/en/ukraine-updates-kyiv-strikes-russian-military-air-base/live-73165671
,,Ukraine hits Russian airfield day after mass wave of strikes,Neutral,https://www.dw.com/en/ukraine-hits-russian-airfield-day-after-mass-wave-of-strikes/live-73165671
,,FTA fuel and China caution: Piyush Goyal eyes $870 bn export ambition for India,Neutral,https://economictimes.indiatimes.com/news/economy/foreign-trade/piyush-goyal-counts-on-ftas-and-resilience-to-drive-indias-exports-past-870-bn-amid-global-headwinds/articleshow/122264175.cms
,,Ukraine says it struck Russian airbase as Russia sent hundreds of drones into Ukraine,Neutral,https://abcnews.go.com/International/wireStory/ukraine-struck-russian-airbase-russia-hundreds-drones-ukraine-123496190
,,"Huawei’s Kirin 9030 For The Upcoming Mate 80 Flagship Smartphone Series Is Rumored To Provide A 20 Percent Performance Improvement, But Lithography Details Not Revealed",Neutral,https://wccftech.com/kirin-9030-for-the-huawei-mate-80-series-rumored-to-be-20-percent-faster/
,,"RBI acts tough against cyber frauds, directs all banks to use DoT’s FRI technology to protect bank customers",Neutral,https://economictimes.indiatimes.com/wealth/save/rbi-acts-tough-against-cyber-frauds-directs-all-banks-to-use-dots-fri-technology-to-protect-bank-customers/articleshow/122263356.cms
,,Ukraine downs 292 Russian drones overnight,Positive,https://biztoc.com/x/131e612645761f11
,,"Financial 'stretch' for UK to join Europe's Starlink rival, says minister",Neutral,https://www.theregister.com/2025/07/05/uk_budget_to_join_iris_not_there/
,,Eagle Materials Inc (NYSE:EXP) Shares Sold by New York State Teachers Retirement System,Positive,https://www.etfdailynews.com/2025/07/05/eagle-materials-inc-nyseexp-shares-sold-by-new-york-state-teachers-retirement-system/
,,Disneyland in Gurgaon: Haryana CM says talks on for India’s first Mickey Mouse & Co park near Manesar,Positive,https://economictimes.indiatimes.com/news/india/disneyland-in-gurgaon-haryana-cm-says-talks-on-for-indias-first-mickey-mouse-co-park-near-manesar/articleshow/122264814.cms
,,"New York State Teachers Retirement System Sells 4,000 Shares of Cullen/Frost Bankers, Inc. (NYSE:CFR)",Positive,https://www.etfdailynews.com/2025/07/05/new-york-state-teachers-retirement-system-sells-4000-shares-of-cullen-frost-bankers-inc-nysecfr/
,,Congregation flees after arsonist sets fire to an Australian synagogue door,Neutral,https://www.nbcnews.com/world/australia/congregation-flees-arsonist-sets-fire-australian-synagogue-door-rcna217014
,,Climate Satellite MethaneSAT Fails After Just One Year in Orbit,Negative,https://www.gadgets360.com/science/news/climate-satellite-methanesat-backed-by-bezos-and-google-fails-after-just-one-year-in-orbit-8820893
,,Roanoke judge appointed to hear Trump lawsuit,Neutral,https://roanoke.com/news/local/crime-courts/article_ede8d406-81a4-4ca8-9541-1a0095db4ca6.html
,,"Umno to conduct study, survey to recapture Bersatu, PAS seats, says Zahid",Neutral,https://www.thestar.com.my/news/nation/2025/07/05/umno-to-conduct-study-survey-to-recapture-bersatu-pas-seats-says-zahid
